Date,Sales
12-Jul-21,9558
31-Jul-23,23276
19-Jul-23,84370
19-Jul-23,33040
18-Jul-23,21122
17-Jul-23,15104
14-Jul-23,8142
12-Jul-23,7729
12-Jul-23,29500
10-Jul-23,55199
10-Jul-23,"17,228.00"
8-Jul-23,9322
29-Jul-23,10443
7/27/2023,47672
26-Jul-23,72393
26-Jul-23,15340
25-Jul-23,"25,960.00"
22-Jul-23,8083
21-Jul-23,5192
20-Jul-23,16107
30-Mar-22,8000
16-Mar-22,5015
14-Mar-22,14396
12-Mar-22,12390
7-Mar-22,6962
7-Mar-22,10030
5-Mar-22,18644
4-Mar-22,33571
1-Mar-22,16638
29-Mar-22,29559
23-Mar-22,5782
23-Mar-22,
18-Mar-22,99710
18-Mar-22,42480
17-Mar-22,7257
17-Mar-22,55696
16-Mar-22,54280
1-Oct-21,30857
13-Oct-21,3540
13-Oct-21,12449
19-Oct-21,20119
20-Oct-21,26137
25-Oct-21,44250
25-Oct-21,8201
26-Oct-21,6195
28-Oct-21,11092
29-Oct-21,"18,703.00"
4-Oct-21,3363
4-Oct-21,11092
4-Oct-21,6903
3-Dec-21,33512
2-Dec-21,72098
2-Dec-21,"39,718.00"
1-Dec-21,6726
28-Dec-21,48321
28-Dec-21,2006
27-Dec-21,3540
27-Dec-21,14219
20-Dec-21,22892
18-Dec-21,
17-Dec-21,9499
28-Feb-22,112690
17-Feb-22,24603
14-Feb-22,72629
12-Feb-22,4012
11-Feb-22,10148
8-Feb-22,6844
1-Feb-22,5310
1-Feb-22,10384
1-Feb-22,24780
25-Feb-22,17110
25-Feb-22,
24-Feb-22,6018
23-Feb-22,14868
19-Feb-22,"15,635.00"
19-Feb-22,20178
18-Feb-22,39825
18-Feb-22,
6-Jan-22,30444
6-Jan-22,3363
7-Jan-22,9617
8-Jan-22,"39,058.00"
12-Jan-22,16933
14-Jan-22,"20,709.00"
15-Jan-22,34279
22-Jan-22,"10,738.00"
24-Jan-22,
30-07-2021,2979.5
12-Jul-21,
9-Jul-21,
1-Jul-21,
30-Jul-21,14219
28-Jul-21,283082
19-Jul-21,8555
16-Jul-21,4012
13-Jul-21,8673
13-Jul-21,3540
13-Jul-21,4366
28-Nov-22,9145
19-Nov-22,8555
18-Nov-22,14691
14-Nov-22,7198
14-Nov-22,22833
11-Nov-22,37524
10-Nov-22,37524
10-Nov-22,36462
7-Nov-22,46728
7-Nov-22,9440
4-Nov-22,17228
26-Nov-22,30444
2-Nov-22,14809
2-Nov-22,33512
24-Nov-22,20532
24-Nov-22,13688
24-Nov-22,41831
23-Nov-22,2624.48
21-Nov-22,
21-Nov-22,132396
19-Nov-22,12154
1-Jun-21,"24,308.00"
26-Jun-21,
28-Jun-21,30326
30/06/2021,10738
3-Jun-21,20060
4-Jun-21,41418
5/6/2021,91332
6-Apr-21,3540
11-Jun-21,"30,326.00"
12-Jun-21,15399
21-Jun-21,8142
23-Jun-21,24426
25-Sep-21,7847
7-Sep-21,83190
4-Sep-21,4012
2-Sep-21,21535
2-Sep-21,9617
2-Sep-21,6195
23-Sep-21,24308
20-Sep-21,15045
16-Sep-21,
15-Sep-21,7847
14-Sep-21,71567
11-Sep-21,8260
9-Sep-21,6018
7-Sep-21,24780
30-May-23,24367
13-May-23,7434
19-Sep-22,5310
17-Sep-22,5251
16-Sep-22,3939
15-Sep-22,9322
14-Sep-22,11977
13-Sep-22,17228
12-Sep-22,
10-Sep-22,7670
10-Sep-22,"18,467.00"
8-Sep-22,16048
27-Sep-22,115168
7-Sep-22,21863
5-Sep-22,13570
5-Sep-22,33630
1-Sep-22,60416
27-Sep-22,"13,570.00"
26-Sep-22,46020
26-Sep-22,
21-Sep-22,60416
21-Sep-22,35046
20-Sep-22,35046
20-Sep-22,15458
30-Apr-22,12036
16-Apr-22,37170
15-Apr-22,33294.88
14-Apr-22,
12-Apr-22,
12-Apr-22,7729
12-Apr-22,8614
8-Apr-22,6195
7-Apr-22,14101
4-Apr-22,33217
1-Apr-22,5192
30-Apr-22,7316
28-Apr-22,
27-Apr-22,5192
23-Apr-22,36285
22-Apr-22,39825
21-Apr-22,1652
20-04-2022,
20-Apr-22,
30-Nov-23,8673
3-Nov-23,8319
2-Nov-23,49560
21-Nov-23,9676
16-Nov-23,
11-Nov-23,15104
9-Nov-23,45666
7-Nov-23,8083
6-Nov-23,10384
4-Nov-23,45324
31-Aug-23,39884
16-Aug-23,31034
12-Aug-23,
12-Aug-23,43247
11-Aug-23,37347
11-Aug-23,8732
9-Aug-23,14750
8-Aug-23,8319
7-Aug-23,7788
6-Aug-23,27140
5-Aug-23,27140
28-Aug-23,108560
5-Aug-23,49560
4-Aug-23,17582
3-Aug-23,49914
2-Aug-23,"10,974.00"
2-Aug-23,
1-Aug-23,31034
28-Aug-23,11328
26-Aug-23,9027
23-Aug-23,32096
23-Aug-23,41361.36
18-Aug-23,"21,240.00"
17-Aug-23,15458
16-Aug-23,4602
30-Sep-23,2700
12-Sep-23,16992
11-Sep-23,119180
9-Sep-23,18054
7-Sep-23,5900
7-Sep-23,19706
6-Sep-23,10856
5-Sep-23,
5-Sep-23,
5-Sep-23,39884
5-Sep-23,42333
29-Sep-23,31801
4-Sep-23,42334
4-Sep-23,71508
4-Sep-23,32025.2
29-Sep-23,
29-Sep-23,10443
28-Sep-23,15458
20-Sep-23,9007.06
16-Sep-23,15104
16-Sep-23,31801
13-Sep-23,17875
14-Jun-23,3263
12-Jun-23,12095
12-Jun-23,33040
9-Jun-23,10030
7-Jun-23,4602
7-Jun-23,8673
2-Jun-23,54344.72
2-Jun-23,10207
2-Jun-23,4602
5-Aug-21,8791
6-Aug-21,4956
7-Aug-21,5640
7-Aug-21,6195
9-Aug-21,"3,009.00"
24/08/2020,
3-Aug-20,
4-Aug-20,39235
4-Aug-20,10207
5-Aug-20,31388
29-Mar-22,8791
13-Mar-23,16520
11-Mar-23,"12,213.00"
9-Mar-23,16402
6-Mar-23,4602
4-Mar-23,8909
2-Mar-23,26963
1-Mar-23,12213
28-Mar-23,13298.6
27-Mar-23,18644
25-Mar-23,
24-Mar-23,7670
23-Mar-23,15458
18-Mar-23,10738
15-Mar-23,23305
15-Mar-23,16284
28-Apr-23,15458
15-Apr-23,29264
15-Apr-23,10443
14-Apr-23,12213
14-Apr-23,2832
13-Apr-23,1764
12-Apr-23,33925
12-Apr-23,8645
11/3/2023,15045
010/2023-24,31270
11-Apr-22,25075
26-Apr-23,15989
10-Apr-23,20296
8-Apr-23,32185
7-Apr-23,37465
7-Apr-23,24603
04/03/2023-24,108088
3/23/2023,197060
4-Apr-23,12213
3-Apr-23,35164
24-Apr-23,18349
24-Apr-23,13098
21-Apr-23,15458
19-Apr-23,18349
18-Jun-22,6313
18-Jun-22,17700
17-Jun-22,1888
17-Jun-22,
16-Jun-22,7139
15-Jun-22,6136
15-Jun-22,9145
13-Jun-22,37583
11-Jun-22,3540
10-Jun-22,49973
28-Jun-22,14455
8-Jun-22,145144
7-Jun-22,5251
6-Jun-22,35569
6-Jun-22,"12,862.00"
6-Jun-22,7198
3-Jun-22,13570
1st June 2022,4602
27-Jun-22,10089
27-Jun-22,
25-Jun-22,16048
25-Jun-22,2537
25-Jun-22,20768
23-Jun-22,6136
20-Jun-22,20119
30-Jul-22,10148
19-Jul-22,18290
14-Jul-22,35990
9-Jul-22,"21,240"
8-Jul-22,8732
7-Jul-22,10325
5-Jul-22,8319
4-Jul-22,14101
1-Jul-22,10738
29-Jul-21,10608
27-Jul-22,21294
27-Jul-22,72570
26-Jul-22,9263
22-07-2022,7434
22-07-2022,10443
21-Jul-22,4340.04
20-Jul-22,41005
30/05/2021,7493
14-May-21,17936
12-May-21,7080
6-May-21,
29/05/2021,9676
29/05/2021,
27/05/2021,10797
27/05/2021,34642
25/05/2021,
25-May-21,
22-05-2021,8106.6
18-May-21,3327.6
30-May-22,99828
13-May-22,132396
12-May-22,43660
11-May-22,10974
11-May-22,46020
9-May-22,15340
6-May-22,5964
6-May-22,1593
5-May-22,18290
21/05/2022,16284
2-May-22,10089
28-May-22,
27-May-22,6903
25-May-22,5310
24-May-22,20650
23-May-22,
18-May-22,5133
18-May-22,6903
14-May-22,
31-Oct-23,13806
25-Oct-23,39346
16-Oct-22,28733
15-Oct-23,15104
14-Oct-23,3127
14-Oct-23,7645
14-Oct-23,49708
12-Oct-23,150568
12-Oct-23,33158
12-Oct-23,28733
10-Oct-23,9322
30-Oct-23,
7-Oct-23,15989
6-Oct-23,5664
5-Oct-23,"33,276.00"
5-Oct-23,15458
3-Oct-23,5074
2-Oct-23,8968
24-10-2023,32332
30-10-2023,21712
30-Oct-23,52156
28-Oct-23,9145
28-Oct-19,18408
28-Oct-23,38645
25-Oct-23,29353
28-Sep-22,4543
9-Oct-21,10738
9-Oct-21,30326
11-Oct-21,30326
12-Oct-21,18290
26-Oct-22,18526
14-Oct-22,10030
14-Oct-22,112100
14-Oct-22,10030
14-Oct-22,38468
12-Oct-22,8732
12-Oct-22,22100
12-Oct-22,
11-Oct-22,10207
10-Oct-22,8024
10-Oct-22,
22-Oct-22,17169
8-Oct-22,"11,033.00"
7-Oct-22,"14,101.00"
21-Oct-22,4956
20-Oct-22,16697
20-Oct-22,14691
17-Oct-22,10856
17-Oct-22,108501
17-Oct-22,
15-Oct-22,29618
27-Feb-23,24426
13-Feb-23,10207
13-Feb-23,9558
12-Feb-23,34220
11-Feb-23,16579
10-Feb-23,5369
10-Feb-23,403566
10-Feb-23,"10,738.00"
9-Feb-23,47495
8-Feb-23,9499
6-Feb-23,16933
27-Feb-23,15753
6-Feb-23,44840
2-Feb-22,8791
2-Feb-23,10561
1-Feb-23,8319
1-Feb-23,7670
1-Feb-23,27671
27-Feb-23,9145
24-Feb-23,10443
23-Feb-22,8791
22-Feb-23,"7,375.00"
21-Feb-23,10561
21-Feb-23,42716
11-May-23,
11-May-23,48970
10-May-23,16520
10-May-23,13334
10-May-23,31742
9-May-23,2832
9-May-23,9263
9-May-23,18349
25-May-23,23069
8-May-23,17228
5-May-23,16520
4-May-23,8791
24-May-23,18290
22-May-23,
19-May-23,15104
19-May-23,8378
17-May-23,
16-May-23,18290
15-May-23,14809
30-Nov-21,12449
16-Nov-21,6608
15-Nov-21,3540
15-Nov-21,38055
12-Nov-21,
8-Nov-21,14219
3-Nov-21,"2,124.00"
3-Nov-21,9263
2-Nov-21,5192
29-Nov-21,24426
29-Nov-21,7645
27-Nov-21,135582
26-Nov-21,18290
25-Nov-21,9825.4
22-Nov-21,37434
20-Nov-21,13340
17-Nov-21,4366
2-Aug-21,29500
9-Aug-21,4012
14-Aug-21,
16-Aug-21,7670
21-Aug-21,44250
23-Aug-21,16520
25-Aug-21,3540
27-Aug-21,132160
27-Aug-21,"18,290.00"
2-Aug-21,32450
3-Aug-21,6431
18-Apr-23,36521
17-Apr-23,8791
29-Dec-22,
1-Dec-22,10207
28-Dec-22,20296
23-Dec-22,8673
22-Dec-22,13334
17-Dec-22,12213
16-Dec-22,4189
10-Dec-22,
6-Dec-22,24544
2-Dec-22,30267
30-Jan-23,18408
14-Jan-23,34456
12-Jan-23,10561
12-Jan-23,8083
11-Jan-23,20001
11-Jan-23,39530
10-Jan-23,"11,564.00"
10-Jan-23,31860
6-Jan-23,241428
6-Jan-23,
4-Jan-22,8791
27-Jan-23,"7,434.00"
24-Jan-23,46020
23-Jan-23,8673
23-Jan-23,"27,022.00"
21-Jan-23,129800
20-Jan-23,14809
19-Jan-23,"4,720.00"
16-Jan-23,40769
29-Apr-21,33394
28-Apr-21,24544
22-Apr-21,"7,434.00"
21-Apr-21,15812
13-Apr-21,19942
4-Apr-21,37996
3-Apr-21,
30-Dec-21,17169
15-Dec-21,9322
13-Dec-21,10974
13-Dec-21,4012
11-Dec-21,12449
10-Dec-21,10974
9-Dec-21,1770
8-Dec-21,15930
7-Dec-21,24780
1-Dec-21,113162
3-Dec-21,"2,360.00"
